电影名称,上映时间,票房（万元）,平均票价,观影人数
长津湖之水门桥,2022-02-01 上映,406733,49.28735,19
独行月球,2022-07-29 上映,310301,41.60609,12
这个杀手不太冷静,2022-02-01 上映,262796,48.192722,14
人生大事,2022-06-24 上映,171249,40.257015,10
万里归途,2022-09-30 上映,159316,41.96256,8
奇迹·笨小孩,2022-02-01 上映,137929,46.259357,11
侏罗纪世界3,2022-06-10 上映,105938,35.55877,8
熊出没·重返地球,2022-02-01 上映,97769,46.636932,16
阿凡达：水之道,2022-12-16 上映,95427,53.656796,8
神探大战,2022-07-08 上映,71211,37.894077,8
明日战记,2022-08-05 上映,67942,41.25811,7
穿过寒冬拥抱你,2021-12-31 上映,66537,41.983337,8
狙击手,2022-02-01 上映,60805,44.774277,7
新神榜：杨戬,2022-08-19 上映,55550,42.119488,5
哥，你好,2022-09-09 上映,54798,41.639717,4
四海,2022-02-01 上映,54277,53.10559,17
反贪风暴5：最终章,2021-12-31 上映,48136,40.720787,7
李茂扮太子,2022-01-01 上映,46205,39.027493,7
坏蛋联盟,2022-04-29 上映,33523,33.782425,4
误杀2,2021-12-17 上映,28249,38.423172,7
小黄人大眼萌：神偷奶爸前传,2022-08-19 上映,23793,34.816135,6
断·桥,2022-08-13 上映,23249,40.252075,7
外太空的莫扎特,2022-07-15 上映,22395,40.59711,6
平凡英雄,2022-09-30 上映,21552,39.702827,4
想见你,2022-12-24 上映,21282,41.3534,7
神奇动物：邓布利多之谜,2022-04-08 上映,19416,36.19949,3
名侦探柯南：万圣节的新娘,2022-11-18 上映,17508,33.54194,3
扫黑行动,2022-11-11 上映,17424,39.301117,3
十年一品温如言,2022-02-14 上映,16723,41.244873,14
边缘行者,2022-04-15 上映,16647,35.927498,3
我是真的讨厌异地恋,2022-04-29 上映,16519,36.132664,3
新蝙蝠侠,2022-03-18 上映,16327,37.531445,4
航海王：红发歌姬,2022-12-01 上映,16253,33.291176,3
喜羊羊与灰太狼之筐出未来,2022-02-01 上映,16051,42.90739,10
月球陨落,2022-03-25 上映,15845,34.634777,4
以年为单位的恋爱,2021-12-31 上映,15360,37.562428,5
神秘海域,2022-03-14 上映,15147,34.685596,3
爱情神话,2021-12-24 上映,13914,45.160713,8
暗恋·橘生淮南,2022-06-02 上映,13541,40.071568,3
精灵旅社4：变身大冒险,2022-04-03 上映,12375,31.52121,3
一周的朋友,2022-06-18 上映,12166,35.700516,4
好想去你的世界爱你,2022-02-14 上映,11000,40.196056,7
隐入尘烟,2022-07-08 上映,10973,34.88558,6
还是觉得你最好,2022-09-09 上映,10723,33.292248,4
钢铁意志,2022-09-30 上映,10299,44.198303,6
哆啦A梦：大雄的宇宙小战争 2021,2022-05-28 上映,9918,30.020794,3
花束般的恋爱,2022-02-22 上映,9606,34.20966,4
黑客帝国：矩阵重启,2022-01-14 上映,8575,38.048084,3
雄狮少年,2021-12-17 上映,8466,39.957714,7
新大头儿子和小头爸爸5：我的外星朋友,2022-10-01 上映,8277,36.326965,4
汪汪队立大功大电影,2022-01-14 上映,8250,32.945675,5
遇见你,2022-08-04 上映,7833,37.391544,8
海底小纵队：洞穴大冒险,2022-07-09 上映,7762,32.59188,4
密室逃生2,2022-04-02 上映,7720,32.12514,2
妈妈！,2022-09-10 上映,7710,40.74052,3
魔法满屋,2022-01-07 上映,7668,37.781784,5
绝望主夫,2022-12-31 上映,7385,41.059246,11
尼罗河上的惨案,2022-02-19 上映,6850,40.014343,4
我们的冬奥,2022-02-19 上映,6505,36.903687,5
世间有她,2022-09-09 上映,5621,40.95402,3
不要忘记我爱你,2022-02-14 上映,5602,41.45463,8
我要我们在一起,2021-05-20 上映,5556,33.470356,3
您好，北京,2022-11-18 上映,5036,45.43348,11
山海经之再见怪兽,2022-08-13 上映,3828,36.046234,5
海的尽头是草原,2022-09-09 上映,3612,36.59844,3
我的遗憾和你有关,2022-11-04 上映,3284,36.77221,2
我是霸王龙,2022-10-01 上映,3275,32.181698,3
萌鸡小队：萌闯新世界,2022-01-08 上映,3170,33.65409,5
