电影名称,上映时间,票房（万元）,平均票价,观影人数
满江红,2023-01-22 上映,454443,49.514133,24
流浪地球2,2023-01-22 上映,402906,50.792725,21
熊出没·伴我“熊芯”,2023-01-22 上映,149518,46.30324,19
人生路不熟,2023-04-28 上映,113880,41.475174,9
速度与激情10,2023-05-17 上映,95677,37.63043,9
无名,2023-01-22 上映,93142,52.47435,17
深海,2023-01-22 上映,91950,46.54972,11
长空之王,2023-04-28 上映,83516,41.87901,10
铃芽之旅,2023-03-24 上映,80632,33.227844,9
阿凡达：水之道,2022-12-16 上映,74316,46.273872,7
保你平安,2023-03-10 上映,70064,42.162,6
灌篮高手,2023-04-20 上映,65048,36.24283,9
银河护卫队3,2023-05-05 上映,60225,39.284912,8
交换人生,2023-01-22 上映,39346,49.585796,13
变形金刚：超能勇士崛起,2023-06-09 上映,35430,38.169865,8
这么多年,2023-04-28 上映,30067,41.037746,8
忠犬八公,2023-03-31 上映,28647,37.493984,6
蚁人与黄蜂女：量子狂潮,2023-02-17 上映,27226,41.32221,5
蜘蛛侠：纵横宇宙,2023-06-02 上映,26929,36.1107,7
绝望主夫,2022-12-31 上映,23967,41.14325,4
龙马精神,2023-04-07 上映,21076,41.573925,4
回廊亭,2023-03-10 上映,20541,41.59976,4
想见你,2022-12-24 上映,19065,41.218384,3
毒舌律师,2023-02-24 上映,18711,34.719463,5
超级马力欧兄弟大电影,2023-04-05 上映,17111,38.695602,6
天空之城,2023-06-01 上映,11893,32.276073,5
黑豹2,2023-02-07 上映,10622,40.80779,6
中国乒乓之绝地反击,2023-02-17 上映,10096,43.73234,5
哆啦A梦：大雄与天空的理想乡,2023-06-01 上映,9420,31.341932,5
龙与地下城：侠盗荣耀,2023-03-31 上映,8232,36.94284,5
宇宙探索编辑部,2023-04-01 上映,6704,44.31226,5
断网,2023-03-03 上映,6488,42.053688,3
望道,2023-03-24 上映,6419,42.550457,12
检察风云,2023-04-29 上映,6143,38.015915,6
泰坦尼克号,1998-04-03 上映,5915,43.0142,9
名侦探柯南：贝克街的亡灵,2023-04-04 上映,5655,34.48037,4
不止不休,2023-03-24 上映,5647,42.030533,3
不能流泪的悲伤,2023-02-14 上映,5536,41.819363,5
