电影名称,上映时间,票房（万元）,平均票价,观影人数
长津湖,2021-09-30 上映,577534,46.383896,22
战狼2,2017-07-27 上映,569454,35.594273,37
你好，李焕英,2021-02-12 上映,541308,44.756912,24
哪吒之魔童降世,2019-07-26 上映,503570,35.692467,23
流浪地球,2019-02-05 上映,468736,44.59698,29
满江红,2023-01-22 上映,454443,49.514133,24
唐人街探案3,2021-02-12 上映,452341,47.60313,29
复仇者联盟4：终局之战,2019-04-24 上映,425013,48.958096,23
长津湖之水门桥,2022-02-01 上映,406733,49.28735,19
流浪地球2,2023-01-22 上映,402906,50.792725,21
红海行动,2018-02-16 上映,365228,39.275932,32
唐人街探案2,2018-02-16 上映,339777,38.757156,38
美人鱼,2016-02-08 上映,339120,36.668804,43
我和我的祖国,2019-09-30 上映,317003,38.10905,35
八佰,2020-08-21 上映,311076,38.33658,20
独行月球,2022-07-29 上映,310301,41.60609,12
我不是药神,2018-07-05 上映,310002,34.81434,26
中国机长,2019-09-30 上映,291317,37.429123,25
我和我的家乡,2020-10-01 上映,282985,38.755554,19
速度与激情8,2017-04-14 上映,267093,36.648827,30
这个杀手不太冷静,2022-02-01 上映,262796,48.192722,14
西虹市首富,2018-07-27 上映,254766,35.06266,28
捉妖记,2015-07-16 上映,243623,37.16107,41
速度与激情7,2015-04-12 上映,242313,38.856926,42
复仇者联盟3：无限战争,2018-05-11 上映,239051,38.24297,19
捉妖记2,2018-02-16 上映,223723,38.314194,44
羞羞的铁拳,2017-09-30 上映,221365,33.400208,25
疯狂的外星人,2019-02-05 上映,221321,42.006607,30
海王,2018-12-07 上映,201307,36.35835,18
变形金刚4：绝迹重生,2014-06-27 上映,197652,41.633636,50
前任3：再见前任,2017-12-29 上映,194190,35.06071,29
毒液：致命守护者,2018-11-09 上映,187065,35.510277,17
功夫瑜伽,2017-01-28 上映,174868,38.17402,33
飞驰人生,2019-02-05 上映,172824,41.692364,25
阿凡达,2010-01-04 上映,171538,45.51871,22
人生大事,2022-06-24 上映,171249,40.257015,10
烈火英雄,2019-08-01 上映,170685,35.896545,19
阿凡达：水之道,2022-12-16 上映,169743,50.153454,8
侏罗纪世界2,2018-06-15 上映,169591,35.697067,19
寻龙诀,2015-12-18 上映,167988,36.200695,40
西游伏妖篇,2017-01-28 上映,165207,39.149124,36
港囧,2015-09-25 上映,161135,32.852345,40
姜子牙,2020-10-01 上映,160296,39.791046,19
万里归途,2022-09-30 上映,159316,41.96256,8
少年的你,2019-10-25 上映,155826,36.217823,16
变形金刚5：最后的骑士,2017-06-23 上映,155126,36.93777,23
疯狂动物城,2016-03-04 上映,153190,33.580685,28
熊出没·伴我“熊芯”,2023-01-22 上映,149518,46.30324,19
我和我的父辈,2021-09-30 上映,147719,43.45881,16
魔兽,2016-06-08 上映,146887,37.072163,25
复仇者联盟2：奥创纪元,2015-05-12 上映,146118,39.999035,29
夏洛特烦恼,2015-09-30 上映,144475,32.15511,33
速度与激情：特别行动,2019-08-23 上映,143495,35.66835,15
送你一朵小红花,2020-12-31 上映,143269,37.269688,12
芳华,2017-12-15 上映,142299,34.23472,25
侏罗纪世界,2015-06-10 上映,141821,38.28785,33
蜘蛛侠：英雄远征,2019-06-28 上映,141767,35.90006,17
头号玩家,2018-03-30 上映,139668,36.40283,18
速度与激情9,2021-05-21 上映,139220,39.293976,13
奇迹·笨小孩,2022-02-01 上映,137929,46.259357,11
泰坦尼克号,1998-04-03 上映,136530,22.05698,61
后来的我们,2018-04-28 上映,136155,33.90266,21
一出好戏,2018-08-10 上映,135507,34.711494,25
误杀,2019-12-13 上映,133312,33.156662,11
怒火·重案,2021-07-30 上映,132927,38.70483,8
中国医生,2021-07-09 上映,132877,36.341766,11
拆弹专家2,2020-12-24 上映,131465,38.657715,11
扫毒2天地对决,2019-07-05 上映,131288,36.361706,16
摔跤吧！爸爸,2017-05-05 上映,129932,30.073994,22
无双,2018-09-30 上映,127378,35.56216,15
人再囧途之泰囧,2012-12-12 上映,127096,32.42341,45
西游·降魔篇,2013-02-10 上映,124695,40.226612,41
碟中谍6：全面瓦解,2018-08-31 上映,124523,36.820988,15
美国队长3,2016-05-06 上映,124397,34.987694,25
哥斯拉大战金刚,2021-03-26 上映,123257,37.444496,9
寻梦环游记,2017-11-24 上映,123008,33.49183,17
西游记之孙悟空三打白骨精,2016-02-08 上映,119854,36.662888,36
悬崖之上,2021-04-30 上映,119149,38.566544,12
湄公河行动,2016-09-30 上映,118685,30.444935,24
叶问4：完结篇,2019-12-20 上映,118170,35.41724,11
加勒比海盗5：死无对证,2017-05-26 上映,118007,35.81335,22
长城,2016-12-16 上映,117311,35.158714,21
心花路放,2014-09-30 上映,116958,34.440758,36
煎饼侠,2015-07-17 上映,116018,32.674587,39
金刚：骷髅岛,2017-03-24 上映,115892,35.14932,20
大黄蜂,2019-01-04 上映,114973,35.910618,11
人生路不熟,2023-04-28 上映,113818,41.475357,9
金刚川,2020-10-23 上映,112697,36.991623,8
极限特工：终极回归,2017-02-10 上映,112517,36.20821,23
误杀2,2021-12-17 上映,112143,39.25772,9
澳门风云3,2016-02-08 上映,111640,35.636642,36
生化危机：终章,2017-02-24 上映,110949,34.683666,20
攀登者,2019-09-30 上映,110433,36.990734,21
变形金刚3,2011-07-21 上映,107095,41.80155,54
侏罗纪世界3,2022-06-10 上映,105938,35.55877,8
巨齿鲨,2018-08-10 上映,105373,38.287136,21
乘风破浪,2017-01-28 上映,104605,36.31127,27
西游记之大闹天宫,2014-01-31 上映,104499,41.9303,40
神偷奶爸3,2017-07-07 上映,103791,34.05838,20
刺杀小说家,2021-02-12 上映,103518,47.2659,16
惊奇队长,2019-03-08 上映,103517,37.17917,14
狂暴巨兽,2018-04-13 上映,100397,34.81579,13
盗墓笔记,2016-08-05 上映,100310,35.231415,27
功夫熊猫3,2016-01-29 上映,100054,35.60617,25
熊出没·重返地球,2022-02-01 上映,97769,46.636898,16
奇幻森林,2016-04-15 上映,97684,33.531403,24
澳门风云2,2015-02-19 上映,97263,39.20782,36
比悲伤更悲伤的故事,2019-03-14 上映,95843,30.736097,15
速度与激情10,2023-05-17 上映,95627,37.63037,9
西游记之大圣归来,2015-07-10 上映,95462,34.659386,34
哥斯拉2：怪兽之王,2019-05-31 上映,93740,36.072906,14
穿过寒冬拥抱你,2021-12-31 上映,93684,42.428276,10
