电影名称,上映时间,票房（万元）,平均票价,观影人数
八佰,2020-08-21 上映,311076,38.33658,20
我和我的家乡,2020-10-01 上映,282973,38.75644,19
姜子牙,2020-10-01 上映,160296,39.791046,19
金刚川,2020-10-23 上映,112254,37.106293,8
夺冠,2020-09-25 上映,83648,38.81557,11
拆弹专家2,2020-12-24 上映,60215,38.19777,17
除暴,2020-11-20 上映,53804,37.0989,8
宠爱,2019-12-31 上映,51014,34.868584,7
我在时间尽头等你,2020-08-25 上映,50513,35.24948,16
误杀,2019-12-13 上映,50132,31.988426,8
信条,2020-09-04 上映,45623,38.887432,10
紧急救援,2020-12-18 上映,43863,38.798244,10
叶问4：完结篇,2019-12-20 上映,41818,35.58875,7
沐浴之王,2020-12-11 上映,40281,34.23183,9
疯狂原始人2,2020-11-27 上映,33776,35.088722,8
如果声音不记得,2020-12-04 上映,33460,35.75098,7
一点就到家,2020-10-04 上映,31220,37.492634,8
急先锋,2020-09-30 上映,29424,38.177803,9
花木兰,2020-09-11 上映,27807,35.92636,6
送你一朵小红花,2020-12-31 上映,23668,37.91972,67
温暖的抱抱,2020-12-31 上映,19481,37.197037,48
哈利·波特与魔法石,2002-01-26 上映,19196,35.321136,9
赤狐书生,2020-12-04 上映,18512,36.36766,6
神奇女侠1984,2020-12-18 上映,16217,39.33818,8
多力特的奇幻冒险,2020-07-24 上映,13602,32.301804,7
一秒钟,2020-11-27 上映,13130,37.04689,5
数码宝贝：最后的进化,2020-10-30 上映,12524,32.360283,6
星际穿越,2014-11-12 上映,12189,30.45617,8
喜宝,2020-10-16 上映,11337,37.322033,6
我为你牺牲,2019-12-05 上映,10608,74.262085,32
变身特工,2020-01-03 上映,10340,34.96346,6
地狱男爵：血皇后崛起,2020-11-09 上映,8621,32.075554,3
风平浪静,2020-11-06 上映,8352,34.04001,4
心灵奇旅,2020-12-25 上映,7822,37.04863,13
汪汪队立大功之超能救援,2020-11-13 上映,7796,29.883787,6
1/2的魔法,2020-08-19 上映,7086,32.170475,8
